序号,代码,名称,收盘价,涨跌幅,买方机构数,卖方机构数,机构买入总额,机构卖出总额,机构买入净额,市场总成交额,机构净买额占总成交额比,换手率,流通市值,上榜原因,上榜日期
1970,920012,创达新材,63.83,30.0,1,0,13737350.58,4044609.57,9692741.01,367331900,2.638687522102,51.5611,8.47,当日价格振幅达到30%的前5只股票,2026-04-17
1971,002361,神剑股份,17.29,1.7059,4,3,389471838.46,379786000.52,9685837.94,5977900916,0.162027408552,42.4441,139.88,日换手率达到20%的前5只证券,2026-04-02
1972,002350,北京科锐,13.83,-9.0132,1,0,15164097.19,5512508.0,9651589.19,1158077115,0.833415069255,14.5096,73.38,日振幅值达到15%的前5只证券,2026-03-13
1973,002292,奥飞娱乐,10.88,10.0101,1,3,79389589.23,69765151.62,9624437.61,2248828737,0.4279755702,21.1083,110.74,日涨幅偏离值达到7%的前5只证券,2026-02-10
1974,002207,*ST准油,7.85,-6.1005,1,3,44929106.0,35306390.42,9622715.58,652098073,1.475654656627,29.8965,20.47,连续三个交易日内，跌幅偏离值累计达到20%的证券,2026-04-08
1975,000567,海德股份,6.67,10.066,1,2,40313768.85,30702885.0,9610883.85,1418192092,0.677685618487,8.008,129.97,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-04-30
1976,688759,必贝特,41.4,20.0,1,1,15280398.73,5703139.8,9577258.93,403727200,2.372210475291,21.5762,19.24,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2026-01-07
1977,301683,慧谷新材,130.67,7.9204,4,4,68670763.59,59124861.31,9545902.28,674277169,1.41572378821,36.5622,18.64,日换手率达到30%的前5只证券,2026-04-15
1978,002309,中利集团,4.94,3.7815,2,1,143930119.0,134389963.0,9540156.0,4902616802,0.194593140465,41.8719,118.86,日换手率达到20%的前5只证券,2026-03-31
1979,920469,富恒新材,8.17,29.8887,1,0,9531122.0,0.0,9531122.0,119045400,8.006291717278,15.2919,8.45,当日收盘价涨幅达到20%的前5只股票,2026-05-13
1980,920088,科力股份,61.98,15.7639,1,1,20462575.93,10974777.73,9487798.2,734442300,1.291837112323,38.9498,19.88,当日换手率达到20%的前5只股票,2026-04-02
1981,600386,北巴传媒,4.36,10.101,1,1,16434059.0,7104184.0,9329875.0,218389373,4.272128662598,6.366,35.16,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,2026-05-15
1982,603919,金徽酒,23.98,10.0,1,1,25851748.0,16547238.0,9304510.0,1955231300,0.475877713292,7.7788,121.64,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2026-02-02
1983,301312,智立方,80.33,20.003,2,2,37058845.8,27803401.55,9255444.25,739075492,1.252300252164,16.4908,48.64,日涨幅达到15%的前5只证券,2026-02-06
1984,600481,双良节能,8.43,-10.032,2,0,9244338.0,0.0,9244338.0,190885548,4.842869508382,1.097,174.01,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,2026-03-02
1985,001211,双枪科技,56.37,6.9437,3,5,122156666.0,112919893.0,9236773.0,608930507,1.516884585978,17.312,37.77,日振幅值达到15%的前5只证券,2026-05-14
1986,000890,法尔胜,16.76,9.9738,3,2,103270349.13,94079868.7,9190480.43,1918437057,0.479060826961,27.6897,70.31,日涨幅偏离值达到7%的前5只证券,2026-04-23
1987,688308,欧科亿,39.78,20.0,1,0,9190214.14,0.0,9190214.14,294537800,3.120215517329,4.8128,63.16,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2026-01-19
1988,920100,三协电机,67.49,14.177,1,0,11637867.55,2575238.56,9062628.99,471518700,1.922008393304,37.3546,13.21,当日换手率达到20%的前5只股票,2026-05-21
1989,301189,奥尼电子,71.99,20.0033,2,3,87251136.0,78193551.53,9057584.47,804627375,1.125686839824,10.5755,80.45,日涨幅达到15%的前5只证券,2026-04-14
1990,920091,大鹏工业,89.53,15.8964,1,1,16177640.11,7149876.07,9027764.04,492908800,1.831528274602,42.7231,12.17,当日换手率达到20%的前5只股票,2026-01-06
1991,300885,海昌新材,28.64,19.9832,0,2,31074389.62,22098994.0,8975395.62,750612385,1.195743075835,16.7107,47.83,日涨幅达到15%的前5只证券,2026-04-30
1992,000925,众合科技,9.19,-5.8402,1,0,18324399.0,9396083.0,8928316.0,1772666246,0.503665933739,27.6204,61.87,日换手率达到20%的前5只证券,2026-04-30
1993,301157,华塑科技,88.46,8.8069,3,2,40100243.43,31180064.4,8920179.03,580125344,1.53762960406,32.0406,18.27,日换手率达到30%的前5只证券,2026-05-14
1994,920021,流金科技,13.06,-5.772,1,0,18450946.29,9571798.83,8879147.46,784824900,1.131353944045,26.0855,30.41,当日换手率达到20%的前5只股票,2026-02-04
1995,300785,值得买,83.89,19.9971,1,2,76422198.9,67563604.75,8858594.15,3550796171,0.249481911194,35.7081,102.63,日涨幅达到15%的前5只证券,2026-01-14
1996,002943,宇晶股份,43.56,10.0,1,1,19205463.08,10370135.0,8835328.08,763835421,1.156705729676,13.8436,57.7,日振幅值达到15%的前5只证券,2026-01-05
1997,002199,东晶电子,15.48,5.0204,3,2,48167365.95,39367119.0,8800246.95,394177607,2.232558824682,5.1075,35.75,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,2026-05-27
1998,002289,宇顺电子,34.82,5.006,2,3,31007879.5,22240786.0,8767093.5,209081798,4.193140476054,0.1162,95.56,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,2026-04-29
1999,300335,迪森股份,8.4,20.0,2,4,77214936.54,68495574.92,8719361.62,887038727,0.982974176279,28.917,32.27,日涨幅达到15%的前5只证券,2026-03-24
2000,688787,海天瑞声,165.02,3.3442,1,1,58377947.36,49688941.88,8689005.48,3390737600,0.256257089313,16.2996,99.55,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,2026-01-13
2001,300830,金现代,14.52,20.0,1,5,159638956.83,150958102.94,8680853.89,2832485210,0.306474817921,40.3032,48.94,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-01-12
2002,002918,蒙娜丽莎,16.77,0.0,1,0,18114727.2,9442605.81,8672121.39,1078265918,0.804265556875,29.7299,35.92,日换手率达到20%的前5只证券,2026-05-19
2003,300561,汇金科技,11.31,-20.0141,1,0,10254751.0,1583157.0,8671594.0,253809824,3.416571456273,7.6654,27.26,日跌幅达到15%的前5只证券,2026-04-09
2004,601096,宏盛华源,6.26,-7.1217,1,0,8666899.0,0.0,8666899.0,1012084315,0.856341598378,9.7993,102.85,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,2026-02-27
2005,001333,光华股份,27.0,3.6468,3,2,34968745.0,26309347.79,8659397.21,383090089,2.260407527797,32.5409,11.88,日换手率达到20%的前5只证券,2026-05-18
2006,603108,润达医疗,19.47,8.5284,1,1,51128047.36,42484019.0,8644028.36,4213267577,0.205162102858,18.1488,117.54,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2026-01-12
2007,301563,云汉芯城,242.61,15.5286,1,2,44175653.49,35535680.6,8639972.89,1463840647,0.590226327415,44.8118,35.71,日换手率达到30%的前5只证券,2026-05-28
2008,000720,新能泰山,5.94,10.0,2,1,59948910.47,51347511.0,8601399.47,1680827366,0.511736044045,23.45,74.64,日涨幅偏离值达到7%的前5只证券,2026-04-03
2009,002442,龙星科技,7.39,-5.8599,4,3,75826590.95,67233193.68,8593397.27,1116043116,0.769987928495,29.4835,36.41,日换手率达到20%的前5只证券,2026-05-26
2010,002442,龙星科技,7.39,-5.8599,4,3,75826590.95,67233193.68,8593397.27,1116043116,0.769987928495,29.4835,36.41,日振幅值达到15%的前5只证券,2026-05-26
2011,300805,电声股份,15.67,19.9847,2,3,77614393.0,69057094.0,8557299.0,763414022,1.120925048977,17.9989,45.18,日涨幅达到15%的前5只证券,2026-01-30
2012,002227,*ST特迅,8.02,-9.9888,4,3,19750709.06,11210084.03,8540625.03,122978356,6.944819647776,6.0154,19.72,日跌幅偏离值达到7%的前5只证券,2026-04-15
2013,000968,蓝焰控股,9.44,-10.0095,2,0,8842448.0,307035.0,8535413.0,241960178,3.52761064674,2.6492,91.33,日跌幅偏离值达到7%的前5只证券,2026-04-08
2014,301079,邵阳液压,47.78,4.6201,1,1,23497967.36,14976260.0,8521707.36,1204879457,0.707266383412,33.2469,36.36,日换手率达到30%的前5只证券,2026-04-14
2015,000545,金浦钛业,3.94,2.8721,4,2,107751606.07,99238558.98,8513047.09,1318682431,0.645572193113,33.4871,38.82,日换手率达到20%的前5只证券,2026-03-12
2016,001209,洪兴股份,23.71,-9.9848,1,0,25147321.0,16675668.44,8471652.56,1804227790,0.469544511339,10.0997,22.78,连续三个交易日内，跌幅偏离值累计达到20%的证券,2026-03-04
2017,688455,科捷智能,23.7,-16.4021,1,0,8394537.0,0.0,8394537.0,332116300,2.527589582324,7.805,39.82,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券,2026-04-22
2018,001369,双欣材料,16.94,10.0,0,1,19141414.18,10785376.43,8356037.75,1206961398,0.692320215365,36.5302,34.05,日换手率达到20%的前5只证券,2026-03-11
2019,001382,新亚电缆,22.88,7.1161,3,4,35168876.27,26823513.0,8345363.27,435301099,1.917147300839,30.5533,14.41,日换手率达到20%的前5只证券,2026-03-24
2020,002270,华明装备,32.49,9.9865,3,3,166371344.84,158049690.16,8321654.68,1933266415,0.430445313457,1.7952,291.18,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-01-19
2021,001896,豫能控股,16.37,10.0134,0,1,53000376.0,44697685.72,8302690.28,4681473689,0.17735206543,19.0644,249.77,日涨幅偏离值达到7%的前5只证券,2026-05-21
2022,301629,矽电股份,331.56,20.0,2,3,80303463.94,72092409.92,8211054.02,1244825447,0.659614891372,39.4981,34.59,日涨幅达到15%的前5只证券,2026-01-15
2023,301629,矽电股份,331.56,20.0,2,3,80303463.94,72092409.92,8211054.02,1244825447,0.659614891372,39.4981,34.59,日换手率达到30%的前5只证券,2026-01-15
2024,300846,首都在线,35.0,3.673,2,0,106475648.0,98275203.04,8200444.96,4814112169,0.170341792466,35.0733,137.2,日换手率达到30%的前5只证券,2026-02-13
2025,001260,坤泰股份,26.25,10.0168,3,3,66874579.59,58714069.1,8160510.49,945333984,0.863240995047,40.6605,8.33,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-01-15
2026,002324,普利特,14.78,-9.9878,1,1,20305888.0,12149970.0,8155918.0,737594478,1.105745534066,6.3756,114.73,日跌幅偏离值达到7%的前5只证券,2026-04-27
2027,920088,科力股份,65.69,-7.2568,1,0,13995506.12,5848137.48,8147368.64,544806900,1.495459884961,26.171,21.07,当日换手率达到20%的前5只股票,2026-03-25
2028,300302,同有科技,53.47,19.9955,3,3,192626388.6,184489363.34,8137025.26,2843053495,0.286207251264,15.3088,197.2,日涨幅达到15%的前5只证券,2026-05-18
2029,301687,新广益,70.29,9.2987,1,2,34142542.47,26007783.4,8134759.07,775395561,1.049110864074,38.9198,20.76,日换手率达到30%的前5只证券,2026-05-11
2030,920047,诺思兰德,24.22,-25.2238,2,0,16302806.6,8172287.31,8130519.29,497573800,1.634032838948,9.9894,43.62,当日收盘价跌幅达到-20%的前5只股票,2026-05-29
2031,920047,诺思兰德,24.22,-25.2238,2,0,16302806.6,8172287.31,8130519.29,497573800,1.634032838948,9.9894,43.62,当日价格振幅达到30%的前5只股票,2026-05-29
2032,920200,振宏股份,70.27,6.7609,1,1,31503338.9,23386017.12,8117321.78,867383000,0.935840543336,53.1324,17.02,当日换手率达到20%的前5只股票,2026-05-11
2033,000889,中嘉博创,5.29,5.8,1,0,15036650.89,6948517.0,8088133.89,1420518481,0.569378997752,31.69,46.01,日换手率达到20%的前5只证券,2026-04-17
2034,300721,怡达股份,21.0,18.7111,4,2,108714744.8,100641500.68,8073244.12,1097364057,0.73569423643,42.124,29.05,日换手率达到30%的前5只证券,2026-04-24
2035,300721,怡达股份,21.0,18.7111,4,2,108714744.8,100641500.68,8073244.12,1097364057,0.73569423643,42.124,29.05,日涨幅达到15%的前5只证券,2026-04-24
2036,301008,宏昌科技,42.29,20.0057,1,2,61756508.29,53690485.0,8066023.29,1414609292,0.570194422984,24.9209,48.99,连续三个交易日内，涨幅偏离值累计达到30%的证券,2026-03-31
2037,001225,和泰机电,63.3,9.1379,2,1,14156066.0,6104365.0,8051701.0,396602790,2.030167513446,31.3092,13.32,日换手率达到20%的前5只证券,2026-05-26
2038,301667,纳百川,120.65,4.2873,2,2,32363873.0,24315950.51,8047922.49,1131969100,0.710966623559,43.4191,27.14,日换手率达到30%的前5只证券,2026-04-24
2039,600885,宏发股份,25.35,-9.9467,3,2,273512528.05,265467599.08,8044928.97,1760366657,0.457003030477,4.4331,392.32,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,2026-04-02
2040,920088,科力股份,52.82,-14.8065,1,0,10637004.65,2660022.91,7976981.74,627174800,1.271891303668,36.676,17.2,当日换手率达到20%的前5只股票,2026-04-08
2041,000559,万向钱潮,19.53,10.0282,1,4,290757587.65,282827015.47,7930572.18,4255897439,0.186343122542,6.9296,647.29,日涨幅偏离值达到7%的前5只证券,2026-02-10
2042,000968,蓝焰控股,9.38,-7.4038,1,1,28537586.0,20613842.79,7923743.21,874081300,0.906522449342,9.7307,90.75,日跌幅偏离值达到7%的前5只证券,2026-03-10
2043,603619,中曼石油,33.57,-10.0,1,1,50850893.39,42930708.76,7920184.63,1276854420,0.620288774189,8.2165,155.21,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,2026-04-08
2044,688312,燕麦科技,44.43,18.3853,1,1,22759535.62,14851918.71,7907616.91,663634600,1.191561879082,10.8343,64.77,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2026-02-03
2045,300379,东通退,1.72,-6.5217,1,0,7954000.0,64426.0,7889574.0,102697249,7.682361579131,10.9219,9.06,退市整理期,2026-01-21
2046,300191,潜能恒信,44.23,19.9946,3,3,97052070.0,89163143.0,7888927.0,1517931144,0.519715734879,16.0121,97.83,日涨幅达到15%的前5只证券,2026-03-02
2047,920012,创达新材,64.15,8.7288,2,0,9169002.14,1336524.33,7832477.81,366749700,2.135646684919,43.0616,8.51,当日换手率达到20%的前5只股票,2026-05-06
2048,920181,赛英电子,60.95,-1.3754,1,1,12558572.35,4785582.39,7772989.96,342570300,2.269020390851,56.0366,6.11,当日换手率达到20%的前5只股票,2026-04-13
2049,920046,亿能电力,29.59,1.5094,1,1,16782238.74,9030452.26,7751786.48,525996400,1.47373375179,32.808,16.55,当日换手率达到20%的前5只股票,2026-02-03
2050,920180,爱得科技,20.01,-5.7466,1,0,7732925.28,0.0,7732925.28,275226300,2.809660733731,50.7444,5.32,当日换手率达到20%的前5只股票,2026-02-11
2051,000912,泸天化,5.68,5.1852,1,0,19344656.58,11661719.68,7682936.9,2129636153,0.360762888495,9.4781,89.06,连续三个交易日内，涨幅偏离值累计达到20%的证券,2026-03-04
2052,920056,能之光,30.45,13.7043,1,0,8983887.91,1314076.26,7669811.65,321775800,2.383588713011,35.3149,9.33,当日换手率达到20%的前5只股票,2026-01-23
